DateTime,Data,Reading
2021/08/19 4:19:38 PM,1,
2021/08/19 3:53:42 PM,0,No Event
2021/08/19 3:03:02 PM,1,
2021/08/19 2:56:38 PM,0,No Event
2021/08/19 2:44:16 PM,1,
2021/08/19 1:53:03 PM,1,
2021/08/19 10:41:39 AM,0,No Event
2021/08/19 10:18:51 AM,1,
2021/08/19 10:11:34 AM,0,No Event
2021/08/19 9:44:10 AM,1,
2021/08/19 8:51:20 AM,3,
2021/08/19 2:12:32 AM,0,No Event
2021/08/19 1:59:48 AM,1,
2021/08/18 6:42:15 PM,0,No Event
2021/08/18 6:29:45 PM,1,
2021/08/18 3:57:15 PM,0,No Event
2021/08/18 3:45:08 PM,1,
2021/08/18 3:14:11 PM,0,No Event
2021/08/18 3:01:43 PM,1,
2021/08/18 2:28:37 PM,1,
2021/08/18 2:13:55 PM,0,No Event
2021/08/18 2:01:13 PM,1,
2021/08/18 1:36:53 PM,0,No Event
2021/08/18 12:46:34 PM,1,
2021/08/18 12:41:48 PM,0,No Event
2021/08/18 12:29:34 PM,1,
2021/08/18 11:54:40 AM,0,No Event
2021/08/18 11:32:56 AM,1,
2021/08/18 11:31:33 AM,0,No Event
2021/08/18 10:43:58 AM,1,
2021/08/18 10:23:31 AM,0,No Event
2021/08/18 10:11:09 AM,1,
2021/08/18 8:53:55 AM,3,
2021/08/18 1:16:20 AM,0,No Event
2021/08/18 1:03:38 AM,1,
2021/08/17 10:36:31 PM,0,No Event
2021/08/17 10:00:22 PM,1,
2021/08/17 7:26:41 PM,0,No Event
2021/08/17 7:13:46 PM,1,
2021/08/17 6:30:37 PM,0,No Event
2021/08/17 6:05:53 PM,1,
2021/08/17 12:46:02 PM,0,No Event
2021/08/17 12:27:42 PM,1,
2021/08/17 8:56:22 AM,3,
2021/08/17 12:55:12 AM,0,No Event
2021/08/17 12:42:32 AM,1,
2021/08/16 7:09:36 PM,0,No Event
2021/08/16 6:57:28 PM,1,
2021/08/16 3:43:50 PM,0,No Event
2021/08/16 3:31:10 PM,1,
2021/08/16 2:56:49 PM,0,No Event
2021/08/16 2:44:11 PM,1,
2021/08/16 2:42:42 PM,0,No Event
2021/08/16 1:42:55 PM,1,
2021/08/16 1:39:40 PM,0,No Event
2021/08/16 12:39:23 PM,1,
2021/08/16 12:26:38 PM,0,No Event
2021/08/16 11:48:36 AM,0,No Event
2021/08/16 11:35:45 AM,1,
2021/08/16 11:29:27 AM,0,No Event
2021/08/16 11:16:44 AM,1,
2021/08/16 10:56:21 AM,0,No Event
2021/08/16 10:43:45 AM,1,
2021/08/16 9:36:14 AM,0,No Event
2021/08/16 8:59:27 AM,3,
2021/08/16 8:38:30 AM,1,
2021/08/15 9:01:35 AM,3,
2021/08/14 9:03:47 AM,3,
2021/08/14 5:45:50 AM,0,No Event
2021/08/14 5:33:36 AM,1,
2021/08/13 12:40:57 PM,0,No Event
2021/08/13 12:12:52 PM,1,
2021/08/13 11:50:56 AM,0,No Event
2021/08/13 11:37:15 AM,1,
2021/08/13 9:07:08 AM,3,
2021/08/12 11:41:15 PM,0,No Event
2021/08/12 11:28:31 PM,1,
2021/08/12 11:28:09 PM,0,No Event
2021/08/12 11:13:16 PM,1,
2021/08/12 9:54:11 PM,0,No Event
2021/08/12 9:38:53 PM,1,
2021/08/12 7:20:22 PM,0,No Event
2021/08/12 7:07:28 PM,1,
2021/08/12 5:40:25 PM,0,No Event
2021/08/12 5:27:43 PM,1,
2021/08/12 4:23:29 PM,0,No Event
2021/08/12 1:48:00 PM,1,
2021/08/12 1:30:44 PM,0,No Event
2021/08/12 12:32:35 PM,1,
2021/08/12 12:31:40 PM,0,No Event
2021/08/12 12:18:50 PM,1,
2021/08/12 11:20:44 AM,0,No Event
2021/08/12 10:56:29 AM,1,
2021/08/12 9:10:28 AM,3,
2021/08/12 8:01:49 AM,0,No Event
2021/08/12 7:49:11 AM,1,
2021/08/12 3:18:16 AM,0,No Event
2021/08/12 3:05:53 AM,1,
2021/08/11 7:20:01 PM,0,No Event
2021/08/11 7:07:43 PM,1,
2021/08/11 6:52:56 PM,0,No Event
2021/08/11 6:29:50 PM,1,
2021/08/11 6:28:48 PM,0,No Event
2021/08/11 6:16:41 PM,1,
2021/08/11 2:10:47 PM,0,No Event
2021/08/11 1:58:38 PM,1,
2021/08/11 11:03:42 AM,0,No Event
2021/08/11 10:49:13 AM,1,
2021/08/11 10:21:34 AM,0,No Event
2021/08/11 10:09:29 AM,1,
