DateTime,Data,Reading
2021/08/18 2:23:52 PM,1,
2021/08/18 2:07:25 PM,0,No Event
2021/08/18 1:42:11 PM,1,
2021/08/18 1:40:13 PM,0,No Event
2021/08/18 1:15:34 PM,1,
2021/08/18 12:59:00 PM,0,No Event
2021/08/18 12:46:50 PM,1,
2021/08/18 12:29:44 PM,0,No Event
2021/08/18 11:31:28 AM,1,
2021/08/18 11:30:27 AM,0,No Event
2021/08/18 9:13:26 AM,1,
2021/08/18 9:10:07 AM,0,No Event
2021/08/18 8:57:55 AM,1,
2021/08/17 4:51:26 PM,3,
2021/08/17 3:56:30 PM,0,No Event
2021/08/17 3:32:51 PM,1,
2021/08/17 3:04:19 PM,0,No Event
2021/08/17 2:44:26 PM,1,
2021/08/17 2:42:09 PM,0,No Event
2021/08/17 1:52:12 PM,1,
2021/08/17 1:50:59 PM,0,No Event
2021/08/17 1:38:19 PM,1,
2021/08/17 1:37:49 PM,0,No Event
2021/08/17 1:25:06 PM,1,
2021/08/17 1:02:38 PM,0,No Event
2021/08/17 11:59:17 AM,1,
2021/08/17 11:13:22 AM,0,No Event
2021/08/17 8:45:15 AM,1,
2021/08/17 8:37:04 AM,0,No Event
2021/08/17 8:02:03 AM,1,
2021/08/16 4:49:42 PM,3,
2021/08/16 4:06:28 PM,0,No Event
2021/08/16 1:32:21 PM,1,
2021/08/16 1:31:49 PM,0,No Event
2021/08/16 7:54:48 AM,1,
2021/08/15 4:46:29 PM,3,
2021/08/14 4:44:06 PM,3,
2021/08/13 4:42:16 PM,3,
2021/08/13 1:12:14 PM,0,No Event
2021/08/13 11:21:11 AM,1,
2021/08/13 11:20:58 AM,0,No Event
2021/08/13 9:50:08 AM,1,
2021/08/13 9:49:42 AM,0,No Event
2021/08/13 7:58:44 AM,1,
2021/08/12 4:46:58 PM,0,No Event
2021/08/12 4:40:29 PM,3,
2021/08/12 4:34:49 PM,1,
2021/08/12 1:45:38 PM,0,No Event
2021/08/12 1:31:19 PM,1,
2021/08/12 1:05:28 PM,0,No Event
2021/08/12 12:52:32 PM,1,
2021/08/12 12:45:17 PM,0,No Event
2021/08/12 12:31:02 PM,1,
2021/08/12 10:31:59 AM,0,No Event
2021/08/12 10:12:24 AM,1,
2021/08/12 10:02:47 AM,0,No Event
2021/08/12 9:50:02 AM,1,
2021/08/12 9:25:34 AM,0,No Event
2021/08/12 9:13:12 AM,1,
2021/08/11 4:56:56 PM,0,No Event
2021/08/11 4:44:25 PM,1,
2021/08/11 4:39:46 PM,0,No Event
2021/08/11 4:38:33 PM,3,
2021/08/11 4:04:02 PM,1,
2021/08/11 3:20:32 PM,0,No Event
2021/08/11 2:54:00 PM,1,
2021/08/11 2:53:21 PM,0,No Event
2021/08/11 1:47:06 PM,1,
2021/08/11 1:45:05 PM,0,No Event
2021/08/11 1:12:31 PM,1,
2021/08/11 12:54:55 PM,0,No Event
2021/08/11 11:21:59 AM,1,
2021/08/11 11:21:40 AM,0,No Event
2021/08/11 10:14:03 AM,1,
2021/08/11 10:10:21 AM,0,No Event
2021/08/11 9:57:45 AM,1,
2021/08/11 9:55:09 AM,0,No Event
2021/08/11 9:37:58 AM,1,
2021/08/11 9:33:55 AM,0,No Event
2021/08/11 9:16:44 AM,1,
2021/08/11 9:07:39 AM,0,No Event
2021/08/11 8:28:09 AM,1,
2021/08/11 8:19:23 AM,0,No Event
2021/08/11 8:06:43 AM,1,
2021/08/11 8:06:09 AM,0,No Event
2021/08/11 7:41:10 AM,1,
2021/08/10 11:41:34 PM,0,No Event
2021/08/10 11:28:42 PM,1,
2021/08/10 7:21:54 PM,0,No Event
2021/08/10 7:08:59 PM,1,
2021/08/10 6:34:41 PM,0,No Event
2021/08/10 6:22:27 PM,1,
2021/08/10 5:11:26 PM,0,No Event
2021/08/10 4:58:05 PM,1,
2021/08/10 4:36:01 PM,3,
2021/08/10 4:12:12 PM,0,No Event
2021/08/10 3:58:34 PM,1,
2021/08/10 2:38:54 PM,0,No Event
2021/08/10 2:20:44 PM,1,
2021/08/10 2:14:40 PM,0,No Event
2021/08/10 1:34:09 PM,1,
2021/08/10 1:26:25 PM,0,No Event
2021/08/10 7:42:39 AM,1,
2021/08/09 4:33:15 PM,3,
2021/08/08 4:30:02 PM,3,
2021/08/07 4:26:44 PM,3,
2021/08/06 9:21:44 PM,0,No Event
2021/08/06 9:09:04 PM,1,
2021/08/06 4:24:00 PM,3,
2021/08/06 2:55:02 PM,0,No Event
2021/08/06 2:40:30 PM,1,
2021/08/06 2:37:52 PM,0,No Event
2021/08/06 11:45:29 AM,1,
2021/08/06 11:32:31 AM,0,No Event
2021/08/06 11:20:20 AM,1,
2021/08/06 11:10:12 AM,0,No Event
2021/08/06 10:48:15 AM,1,
2021/08/06 10:32:59 AM,0,No Event
2021/08/06 10:09:44 AM,1,
2021/08/06 9:42:31 AM,0,No Event
2021/08/06 9:30:17 AM,1,
2021/08/06 9:25:11 AM,0,No Event
2021/08/06 9:08:46 AM,1,
2021/08/06 8:56:56 AM,0,No Event
2021/08/06 7:56:38 AM,1,
2021/08/05 4:21:52 PM,3,
2021/08/05 3:42:44 PM,0,No Event
2021/08/05 2:46:21 PM,1,
2021/08/05 2:42:31 PM,0,No Event
2021/08/05 1:58:25 PM,1,
2021/08/05 10:47:49 AM,0,No Event
2021/08/05 10:06:18 AM,1,
2021/08/05 9:45:36 AM,0,No Event
2021/08/05 8:57:22 AM,1,
2021/08/05 8:56:12 AM,0,No Event
2021/08/05 8:08:21 AM,1,
2021/08/04 4:48:18 PM,0,No Event
2021/08/04 4:36:08 PM,1,
2021/08/04 4:32:01 PM,0,No Event
2021/08/04 4:19:42 PM,3,
2021/08/04 2:46:57 PM,1,
2021/08/04 2:40:31 PM,0,No Event
2021/08/04 1:15:56 PM,1,
2021/08/04 1:05:07 PM,0,No Event
2021/08/04 10:44:59 AM,1,
2021/08/04 10:06:56 AM,0,No Event
2021/08/04 9:05:42 AM,1,
2021/08/03 4:41:58 PM,0,No Event
2021/08/03 4:18:02 PM,3,
2021/08/03 3:31:17 PM,1,
2021/08/03 2:10:38 PM,0,No Event
2021/08/03 1:06:15 PM,1,
2021/08/03 12:40:20 PM,0,No Event
2021/08/03 12:25:08 PM,1,
2021/08/03 12:12:10 PM,0,No Event
2021/08/03 11:56:39 AM,1,
2021/08/03 11:51:58 AM,0,No Event
2021/08/03 10:48:09 AM,1,
2021/08/03 9:15:31 AM,0,No Event
2021/08/03 9:02:51 AM,1,
2021/08/03 8:57:20 AM,0,No Event
2021/08/03 8:44:53 AM,1,
2021/08/03 8:37:07 AM,0,No Event
2021/08/03 8:23:35 AM,1,
2021/08/03 4:39:03 AM,0,No Event
2021/08/03 4:26:42 AM,1,
2021/08/02 4:15:01 PM,3,
2021/08/02 3:01:08 PM,0,No Event
2021/08/02 2:48:27 PM,1,
2021/08/02 2:36:56 PM,0,No Event
2021/08/02 12:40:03 PM,1,
2021/08/02 12:12:32 PM,0,No Event
2021/08/02 11:55:34 AM,1,
2021/08/02 11:50:21 AM,0,No Event
2021/08/02 7:50:50 AM,1,
2021/08/01 4:12:01 PM,3,
